Epochs,Loss,Error,Time
0,36567688.0,No Error,2018-05-18 20:19:29.773882
1,36268028.0,No Error,2018-05-18 20:28:49.747010
2,35999424.0,No Error,2018-05-18 20:39:44.886527
3,35939920.0,No Error,2018-05-18 20:53:46.071288
4,36073532.0,No Error,2018-05-18 21:05:06.603406
5,35743844.0,No Error,2018-05-18 21:15:49.103709
6,35767372.0,No Error,2018-05-18 21:23:23.677390
7,35911656.0,No Error,2018-05-18 21:34:58.735884
8,35652076.0,No Error,2018-05-18 21:44:07.527294
9,35649280.0,No Error,2018-05-18 21:51:21.724234
10,35692400.0,No Error,2018-05-18 22:01:43.311132
11,35774496.0,No Error,2018-05-18 22:12:08.957292
12,35786932.0,No Error,2018-05-18 22:21:11.818511
13,35625520.0,No Error,2018-05-18 22:30:06.696761
14,35452972.0,No Error,2018-05-18 22:41:38.219020
15,35492900.0,No Error,2018-05-18 22:50:38.619336
16,35390164.0,No Error,2018-05-18 23:00:26.591266
17,35483168.0,No Error,2018-05-18 23:12:33.727402
18,35596108.0,No Error,2018-05-18 23:20:16.991971
19,35518032.0,No Error,2018-05-18 23:29:15.976656
20,35460952.0,No Error,2018-05-18 23:43:00.512959
21,35336576.0,No Error,2018-05-18 23:52:14.721576
22,35341752.0,No Error,2018-05-19 00:05:36.860326
23,35527024.0,No Error,2018-05-19 00:25:37.173765
24,35411712.0,No Error,2018-05-19 00:42:07.355783
25,35339448.0,No Error,2018-05-19 01:01:40.020003
26,35217064.0,No Error,2018-05-19 01:16:57.803044
27,35260252.0,No Error,2018-05-19 01:25:02.199748
28,35226040.0,No Error,2018-05-19 01:34:35.961674
29,35276032.0,No Error,2018-05-19 01:49:39.651224
30,35280528.0,No Error,2018-05-19 01:59:36.622010
31,35333340.0,No Error,2018-05-19 02:14:52.319084
32,35243364.0,No Error,2018-05-19 02:28:29.021349
33,35388272.0,No Error,2018-05-19 02:38:49.393221
34,35260380.0,No Error,2018-05-19 02:49:47.460601
35,35254288.0,No Error,2018-05-19 03:02:09.590079
36,35084400.0,No Error,2018-05-19 03:15:14.641316
37,35252012.0,No Error,2018-05-19 03:28:07.429966
38,35215556.0,No Error,2018-05-19 03:41:20.416410
39,35197128.0,No Error,2018-05-19 03:51:01.238953
40,35224352.0,No Error,2018-05-19 04:04:25.908789
41,35274592.0,No Error,2018-05-19 04:22:00.389483
42,35365236.0,No Error,2018-05-19 04:32:48.893182
43,35410812.0,No Error,2018-05-19 04:48:54.179079
44,35577224.0,No Error,2018-05-19 05:10:42.350872
45,35146772.0,No Error,2018-05-19 05:22:48.503832
46,35150856.0,No Error,2018-05-19 05:32:50.424889
47,35127524.0,No Error,2018-05-19 05:43:52.407850
48,35091952.0,No Error,2018-05-19 05:52:08.328500
49,35089528.0,No Error,2018-05-19 06:02:09.574537
50,35063448.0,No Error,2018-05-19 06:15:05.065599
51,35206988.0,No Error,2018-05-19 06:24:55.863481
52,35142340.0,No Error,2018-05-19 06:36:49.417638
53,35233628.0,No Error,2018-05-19 06:48:55.578404
54,35010092.0,No Error,2018-05-19 06:58:20.652078
55,35101176.0,No Error,2018-05-19 07:08:34.935507
56,35105536.0,No Error,2018-05-19 07:21:19.084033
57,35096788.0,No Error,2018-05-19 07:31:11.005715
58,35112440.0,No Error,2018-05-19 07:42:47.219610
59,35063112.0,No Error,2018-05-19 07:55:10.818154
60,35206472.0,No Error,2018-05-19 08:06:52.493013
61,35192624.0,No Error,2018-05-19 08:23:12.848935
62,35160084.0,No Error,2018-05-19 08:41:54.097670
63,35063724.0,No Error,2018-05-19 08:54:27.918185
64,35096832.0,No Error,2018-05-19 09:07:41.604902
65,35123864.0,No Error,2018-05-19 09:27:18.565533
66,35042900.0,No Error,2018-05-19 09:41:06.064234
67,35077960.0,No Error,2018-05-19 09:50:55.429941
68,34986408.0,No Error,2018-05-19 10:00:51.464838
69,35127196.0,No Error,2018-05-19 10:10:07.504306
70,34971904.0,No Error,2018-05-19 10:20:13.083498
71,35276548.0,No Error,2018-05-19 10:34:16.952896
72,35072788.0,No Error,2018-05-19 10:46:04.529700
73,35112900.0,No Error,2018-05-19 10:56:45.058985
74,35135100.0,No Error,2018-05-19 11:07:42.228176
75,35212864.0,No Error,2018-05-19 11:18:08.727002
76,35040224.0,No Error,2018-05-19 11:27:29.868330
77,35114680.0,No Error,2018-05-19 11:39:26.944242
78,34852112.0,No Error,2018-05-19 11:50:23.905518
79,35085988.0,No Error,2018-05-19 12:01:07.805829
80,35126248.0,No Error,2018-05-19 12:13:31.988566
81,35110532.0,No Error,2018-05-19 12:25:40.293722
82,35089796.0,No Error,2018-05-19 12:36:58.333956
83,35019172.0,No Error,2018-05-19 12:51:02.713719
84,35085860.0,No Error,2018-05-19 13:05:58.340371
85,34979008.0,No Error,2018-05-19 13:19:41.029296
86,35272484.0,No Error,2018-05-19 13:37:11.347695
87,34974992.0,No Error,2018-05-19 13:54:28.729373
88,35055984.0,No Error,2018-05-19 14:12:49.054172
89,35026820.0,No Error,2018-05-19 14:23:58.188941
90,34776904.0,No Error,2018-05-19 14:32:49.398105
91,35002468.0,No Error,2018-05-19 14:41:39.964880
92,35043296.0,No Error,2018-05-19 14:51:41.267749
93,35031900.0,No Error,2018-05-19 15:01:11.519256
94,35012660.0,No Error,2018-05-19 15:11:39.254904
95,34998176.0,No Error,2018-05-19 15:22:45.853996
96,35098560.0,No Error,2018-05-19 15:33:46.044815
97,35010064.0,No Error,2018-05-19 15:44:03.098118
98,35029260.0,No Error,2018-05-19 15:57:32.283330
99,34979004.0,No Error,2018-05-19 16:08:42.613263
100,35192392.0,No Error,2018-05-19 16:22:46.584624
101,35119752.0,No Error,2018-05-19 16:36:35.976488
102,35303620.0,No Error,2018-05-19 16:48:41.307666
103,34866108.0,No Error,2018-05-19 17:01:04.129338
104,35184576.0,No Error,2018-05-19 17:14:07.301108
105,35078408.0,No Error,2018-05-19 17:25:19.962700
106,34894448.0,No Error,2018-05-19 17:36:25.206014
107,34975912.0,No Error,2018-05-19 17:47:47.140583
108,35011560.0,No Error,2018-05-19 17:59:37.674757
109,34830540.0,No Error,2018-05-19 18:13:38.678109
110,35224804.0,No Error,2018-05-19 18:33:48.085402
111,35020204.0,No Error,2018-05-19 18:48:09.138764
112,35087360.0,No Error,2018-05-19 18:56:47.720822
113,34919712.0,No Error,2018-05-19 19:06:19.395472
114,34921232.0,No Error,2018-05-19 19:15:27.894554
115,34932968.0,No Error,2018-05-19 19:24:14.643178
116,35013816.0,No Error,2018-05-19 19:35:06.390941
117,35024028.0,No Error,2018-05-19 19:47:05.747069
118,34970268.0,No Error,2018-05-19 19:57:03.556619
119,35001524.0,No Error,2018-05-19 20:09:33.024919
120,35012064.0,No Error,2018-05-19 20:22:07.289062
121,34910340.0,No Error,2018-05-19 20:32:56.795928
122,35093236.0,No Error,2018-05-19 20:46:42.668372
123,35413856.0,No Error,2018-05-19 21:00:37.054539
124,35109080.0,No Error,2018-05-19 21:13:24.976824
125,34918004.0,No Error,2018-05-19 21:30:21.568109
126,35099620.0,No Error,2018-05-19 21:43:03.118441
127,34811620.0,No Error,2018-05-19 21:55:04.930961
128,34980216.0,No Error,2018-05-19 22:10:20.127323
129,35117104.0,No Error,2018-05-19 22:26:15.313555
130,35018084.0,No Error,2018-05-19 22:43:34.016751
131,34947912.0,No Error,2018-05-19 23:03:57.501031
132,35099508.0,No Error,2018-05-19 23:18:33.400671
133,35009792.0,No Error,2018-05-19 23:27:46.116798
134,34974516.0,No Error,2018-05-19 23:36:27.785489
135,34953008.0,No Error,2018-05-19 23:45:27.935927
136,34836460.0,No Error,2018-05-19 23:54:44.884143
137,34929388.0,No Error,2018-05-20 00:06:23.614958
138,34971000.0,No Error,2018-05-20 00:18:02.793051
139,34910568.0,No Error,2018-05-20 00:28:41.201434
140,34986796.0,No Error,2018-05-20 00:39:55.371801
141,34998256.0,No Error,2018-05-20 00:52:29.628684
142,35154380.0,No Error,2018-05-20 01:04:57.486991
143,35248908.0,No Error,2018-05-20 01:19:03.766256
144,35199836.0,No Error,2018-05-20 01:32:02.590280
145,35016004.0,No Error,2018-05-20 01:44:35.180818
146,34989252.0,No Error,2018-05-20 01:59:39.989197
147,35200332.0,No Error,2018-05-20 02:14:28.696577
148,34931372.0,No Error,2018-05-20 02:28:28.562894
149,35154812.0,No Error,2018-05-20 02:44:34.917596
150,34963156.0,No Error,2018-05-20 03:01:46.877184
151,34980672.0,No Error,2018-05-20 03:14:40.668806
152,34963408.0,No Error,2018-05-20 03:33:45.581662
153,35139484.0,No Error,2018-05-20 03:45:50.618340
154,34920612.0,No Error,2018-05-20 03:53:58.934179
155,35011800.0,No Error,2018-05-20 04:03:37.073849
156,34863672.0,No Error,2018-05-20 04:13:51.902105
157,34964540.0,No Error,2018-05-20 04:22:22.562561
158,34933708.0,No Error,2018-05-20 04:34:02.886925
159,34974284.0,No Error,2018-05-20 04:45:21.613572
160,34931348.0,No Error,2018-05-20 04:56:13.302902
161,34919368.0,No Error,2018-05-20 05:07:36.695714
162,35016956.0,No Error,2018-05-20 05:19:41.990355
163,34922924.0,No Error,2018-05-20 05:29:42.272577
164,35117404.0,No Error,2018-05-20 05:41:40.581910
165,35035364.0,No Error,2018-05-20 05:56:04.646409
166,35403716.0,No Error,2018-05-20 06:09:45.056761
167,35264784.0,No Error,2018-05-20 06:24:15.765927
168,34991772.0,No Error,2018-05-20 06:36:18.058111
169,34904704.0,No Error,2018-05-20 06:47:52.900232
170,34874472.0,No Error,2018-05-20 07:01:40.320806
171,35321620.0,No Error,2018-05-20 07:17:50.230456
172,34894856.0,No Error,2018-05-20 07:32:45.728647
173,35027924.0,No Error,2018-05-20 07:48:47.114649
174,34888220.0,No Error,2018-05-20 08:04:12.727239
175,35043988.0,No Error,2018-05-20 08:23:05.229946
176,34885124.0,No Error,2018-05-20 08:36:49.520951
177,35051968.0,No Error,2018-05-20 08:46:17.574544
178,34901684.0,No Error,2018-05-20 08:55:22.950649
179,34852280.0,No Error,2018-05-20 09:04:03.196571
180,34878468.0,No Error,2018-05-20 09:13:14.568602
181,34912948.0,No Error,2018-05-20 09:24:02.879707
182,34939524.0,No Error,2018-05-20 09:34:34.158255
183,35001264.0,No Error,2018-05-20 09:46:04.489111
184,34920784.0,No Error,2018-05-20 09:57:16.282401
185,35059088.0,No Error,2018-05-20 10:09:24.133249
186,34890900.0,No Error,2018-05-20 10:21:28.950070
187,35041744.0,No Error,2018-05-20 10:33:34.330424
188,34928352.0,No Error,2018-05-20 10:48:01.132817
189,34993236.0,No Error,2018-05-20 11:02:43.879159
190,35028072.0,No Error,2018-05-20 11:17:18.897345
191,34842924.0,No Error,2018-05-20 11:31:44.594242
192,35031308.0,No Error,2018-05-20 11:43:13.561758
193,34916268.0,No Error,2018-05-20 11:55:15.144054
194,34849464.0,No Error,2018-05-20 12:08:35.681169
195,34908800.0,No Error,2018-05-20 12:23:54.863685
196,34867008.0,No Error,2018-05-20 12:38:31.614329
197,35013512.0,No Error,2018-05-20 12:55:30.963611
198,35206256.0,No Error,2018-05-20 13:15:56.140651
199,35000844.0,No Error,2018-05-20 13:30:47.993187
